geom,Name_fi,Address_fi,Link_fi,Link_en,Selite_fi,Selite_en
"POINT (25495986 6679085)",Leikkipaikka Koivikkopuisto,"Koivikkotie 10, 00630 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Koivikkopuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25481098 6675675)",Noropuiston leikkipaikka,"Lugnetintie 11, 02770 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/noropuiston-leikkipaikka"" target=""_palvelu"">Noropuiston leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/noropuisto-playground"" target=""_palvelu"">Noropuisto playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25483600 6677562)",Kasavuoren leikkipuisto,"Mäntymäentie 37 A, 02700 Kauniainen","<a href=""https://www.kauniainen.fi/asuminen-ja-ymparisto/viher-ja-muut-yleiset-alueet/leikkipuistot/kasavuoren-puisto/"" target=""_palvelu"">Kasavuoren leikkipuisto</a>","<a href=""https://www.kauniainen.fi/asuminen-ja-ymparisto/viher-ja-muut-yleiset-alueet/leikkipuistot/kasavuoren-puisto/"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25480219 6672938)",Joukinahon leikkipaikka,"Tillinmäentie 18, 02330 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/joukinahon-leikkipaikka"" target=""_palvelu"">Joukinahon leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/joukinaho-playground"" target=""_palvelu"">Joukinaho playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25502112 6688219)",Leikkipaikka Strenginkulma,"Tähtimöntie 24, 01350 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Strenginkulma</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Strenginkulma</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25491909 6674274)",Leikkipaikka Pyhän Laurin puisto,"Papinpöydänkuja 7, 00340 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Pyhän Laurin puisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25503349 6673862)",Leikkipaikka Laajasalon urheilupuisto,"Reposalmentie, 00840 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Laajasalon urheilupuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25499817 6680423)",Leikkipaikka Jengipolun leikkipaikka,"Savelanpuisto,  Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Jengipolun leikkipaikka</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25494489 6680838)",Leikkipaikka Kirjokivenpuisto,"Kirjokiventie 14, 00430 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Kirjokivenpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu"">Playground Kirjokivenpuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25489752 6684288)",Leikkipaikka Varistonniitty,"Varistontie 7, 01660 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Varistonniitty</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Varistonniitty</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
